测点,X,Y,Z
682,345,10,-1008.172196
683,350,10,-1008.452237
684,355,10,-1008.722755
685,360,10,-1008.984403
686,365,10,-1009.23816
687,370,10,-1009.485872
688,375,10,-1009.732049
689,380,10,-1009.991506
690,385,10,-1010.322625
691,390,10,-1010.81015
692,395,10,-1011.381219
693,400,10,-1011.969376
694,405,10,-1012.557501
695,410,10,-1013.140737
696,415,10,-1013.717324
697,420,10,-1014.286511
698,425,10,-1014.847948
699,430,10,-1015.401464
700,435,10,-1015.946969
701,440,10,-1016.4844
702,445,10,-1017.013678
703,450,10,-1017.534644
704,455,10,-1018.046931
705,460,10,-1018.549643
706,465,10,-1019.040295
707,470,10,-1019.510379
708,475,10,-1019.925338
709,480,10,-1020.226541
710,485,10,-1020.455754
711,490,10,-1020.659979
712,495,10,-1020.851753
713,500,10,-1021.034716
714,505,10,-1021.210313
715,510,10,-1021.379283
716,-200,15,-874.5054634
717,-195,15,-876.0686297
718,-190,15,-877.6990669
719,-185,15,-879.3666511
720,-180,15,-881.0479444
721,-175,15,-882.7092193
722,-170,15,-884.2973885
723,-165,15,-885.728159
724,-160,15,-886.8693325
725,-155,15,-887.5300793
726,-150,15,-887.5764556
727,-145,15,-887.1471108
728,-140,15,-886.4619281
729,-135,15,-885.648574
730,-130,15,-884.7858267
731,-125,15,-883.9587999
732,-120,15,-883.3244882
733,-115,15,-883.1301253
734,-110,15,-883.5023086
735,-105,15,-884.2854246
736,-100,15,-885.2636746
737,-95,15,-886.3232591
738,-90,15,-887.4207806
739,-85,15,-888.547641
740,-80,15,-889.713365
741,-75,15,-890.9397525
742,-70,15,-892.2633023
743,-65,15,-893.7365597
744,-60,15,-895.4376281
745,-55,15,-897.4697846
746,-50,15,-899.9492274
747,-45,15,-902.9088413
748,-40,15,-906.1340752
749,-35,15,-909.2046296
750,-30,15,-911.7755774
751,-25,15,-913.8088103
752,-20,15,-915.5334363
753,-15,15,-917.225559
754,-10,15,-919.0349645
755,-5,15,-920.9661342
756,0,15,-922.954568
757,5,15,-924.9234423
758,10,15,-926.8273236
759,15,15,-928.673596
760,20,15,-930.5220274
761,25,15,-932.4869602
762,30,15,-934.7335369
763,35,15,-937.4241905
764,40,15,-940.587556
765,45,15,-944.0280611
766,50,15,-947.3487783
767,55,15,-950.1241555
768,60,15,-952.2506781
769,65,15,-953.9683679
770,70,15,-955.5456219
771,75,15,-957.1423935
772,80,15,-958.8199607
773,85,15,-960.5771373
774,90,15,-962.3688341
775,95,15,-964.1321266
776,100,15,-965.8140549
777,105,15,-967.3927009
778,110,15,-968.8767042
779,115,15,-970.2897138
780,120,15,-971.6515812
781,125,15,-972.9650625
782,130,15,-974.2206156
783,135,15,-975.4117965
784,140,15,-976.5447761
785,145,15,-977.6307821
786,150,15,-978.6890938
787,155,15,-979.7545927
788,160,15,-980.8767112
789,165,15,-982.081645
790,170,15,-983.3384238
791,175,15,-984.6073702
792,180,15,-985.8674324
793,185,15,-987.1082453
794,190,15,-988.3236494
795,195,15,-989.5086383
796,200,15,-990.658596
797,205,15,-991.771313
798,210,15,-992.8473773
799,215,15,-993.8875412
800,220,15,-994.8919543
801,225,15,-995.8604295
802,230,15,-996.7924893
803,235,15,-997.6870168
804,240,15,-998.5412475
805,245,15,-999.3485325
806,250,15,-1000.096373
807,255,15,-1000.775532
808,260,15,-1001.394945
809,265,15,-1001.970251
810,270,15,-1002.511553
811,275,15,-1003.024372
812,280,15,-1003.512084
813,285,15,-1003.977098
814,290,15,-1004.421336
815,295,15,-1004.846438
816,300,15,-1005.253852
817,305,15,-1005.644871
818,310,15,-1006.020657
819,315,15,-1006.382257
820,320,15,-1006.730611
821,325,15,-1007.066566
822,330,15,-1007.390896
823,335,15,-1007.704315
824,340,15,-1008.007515
825,345,15,-1008.301201
826,350,15,-1008.586169
827,355,15,-1008.863424
828,360,15,-1009.134414
829,365,15,-1009.401519
830,370,15,-1009.669138
831,375,15,-1009.946293
832,380,15,-1010.252228
833,385,15,-1010.620834
834,390,15,-1011.076668
835,395,15,-1011.599533
836,400,15,-1012.154638
837,405,15,-1012.721228
838,410,15,-1013.289612
839,415,15,-1013.855208
840,420,15,-1014.415677
841,425,15,-1014.969718
842,430,15,-1015.516529
843,435,15,-1016.055548
844,440,15,-1016.586285
845,445,15,-1017.108191
846,450,15,-1017.620481
847,455,15,-1018.121819
848,460,15,-1018.609639
849,465,15,-1019.078548
850,470,15,-1019.516834
851,475,15,-1019.903091
852,480,15,-1020.219929
853,485,15,-1020.478793
854,490,15,-1020.702872
855,495,15,-1020.906588
856,500,15,-1021.096805
857,505,15,-1021.276851
858,510,15,-1021.448505
